id,name,bodyPart,target,equipment,secondaryMuscles,category,difficulty,instruction_count,gifUrl,source
0376,dumbbell raise,shoulders,delts,dumbbell,traps; rhomboids,shoulders,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0376-c9MnDRp.gif,github
2292,dumbbell rear delt raise,shoulders,delts,dumbbell,trapezius; rhomboids,shoulders,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/2292-mu5Guxt.gif,github
0377,dumbbell rear delt row_shoulder,shoulders,delts,dumbbell,trapezius; rhomboids,shoulders,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0377-EKXOMEh.gif,github
0378,dumbbell rear fly,shoulders,delts,dumbbell,trapezius; rhomboids,shoulders,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0378-8DiFDVA.gif,github
0380,dumbbell rear lateral raise,shoulders,delts,dumbbell,traps; rhomboids,shoulders,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0380-v1qBec9.gif,github
0379,dumbbell rear lateral raise (support head),shoulders,delts,dumbbell,traps; rhomboids,shoulders,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0379-UzkLrem.gif,github
0381,dumbbell rear lunge,upper legs,glutes,dumbbell,quadriceps; hamstrings; calves,upper legs,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0381-SSsBDwB.gif,github
0382,dumbbell revers grip biceps curl,upper arms,biceps,dumbbell,forearms,upper arms,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0382-e4ojVhP.gif,github
1624,dumbbell reverse bench press,chest,pectorals,dumbbell,triceps; shoulders,chest,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1624-UIbGx6H.gif,github
0383,dumbbell reverse fly,shoulders,delts,dumbbell,trapezius; rhomboids,shoulders,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0383-EAs3xL9.gif,github
1330,dumbbell reverse grip incline bench one arm row,back,upper back,dumbbell,biceps; shoulders,back,,11,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1330-ZIViNh1.gif,github
1331,dumbbell reverse grip incline bench two arm row,back,upper back,dumbbell,biceps; forearms,back,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1331-9pQSkH8.gif,github
2327,dumbbell reverse grip row (female),back,upper back,dumbbell,biceps; forearms,back,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/2327-Nh3mvOO.gif,github
0384,dumbbell reverse preacher curl,upper arms,biceps,dumbbell,forearms,upper arms,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0384-O8Aq69u.gif,github
1675,dumbbell reverse spider curl,upper arms,biceps,dumbbell,forearms,upper arms,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1675-6sMAmNv.gif,github
0385,dumbbell reverse wrist curl,lower arms,forearms,dumbbell,biceps; brachialis,lower arms,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0385-BLCvwr2.gif,github
1459,dumbbell romanian deadlift,upper legs,glutes,dumbbell,hamstrings; lower back,upper legs,,4,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1459-rR0LJzx.gif,github
2397,dumbbell scott press,shoulders,delts,dumbbell,triceps; chest,shoulders,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/2397-5vfAI0I.gif,github
0387,dumbbell seated alternate front raise,shoulders,delts,dumbbell,trapezius; biceps,shoulders,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0387-gH5fRsC.gif,github
1676,dumbbell seated alternate hammer curl on exercise ball,upper arms,biceps,dumbbell,forearms,upper arms,,8,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1676-QLRmNeT.gif,github
0388,dumbbell seated alternate press,shoulders,delts,dumbbell,triceps; chest,shoulders,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0388-QT5Q0nK.gif,github
3546,dumbbell seated alternate shoulder,shoulders,delts,dumbbell,triceps; upper back,shoulders,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/3546-q7qkONO.gif,github
0389,dumbbell seated bench extension,upper arms,triceps,dumbbell,shoulders,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0389-JhYSVwT.gif,github
2317,dumbbell seated bent arm lateral raise,shoulders,delts,dumbbell,trapezius; rhomboids,shoulders,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/2317-JzQbv7J.gif,github
1730,dumbbell seated bent over alternate kickback,upper arms,triceps,dumbbell,shoulders; back,upper arms,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1730-x0lwvfq.gif,github
1737,dumbbell seated bent over triceps extension,upper arms,triceps,dumbbell,shoulders; back,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1737-4ievMJ9.gif,github
