"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Chest Arm","31 Mar 2026, 08:32","31 Mar 2026, 08:55","","Incline Bench Press (Smith Machine)",,"",1,"normal",50,9,,,
"Chest Arm","31 Mar 2026, 08:32","31 Mar 2026, 08:55","","Incline Bench Press (Smith Machine)",,"",2,"normal",50,8,,,
"Chest Arm","31 Mar 2026, 08:32","31 Mar 2026, 08:55","","Incline Bench Press (Smith Machine)",,"",3,"normal",50,7,,,
"Chest Arm","31 Mar 2026, 08:32","31 Mar 2026, 08:55","","Bent Over Row (Dumbbell)",,"",0,"normal",70,13,,,
"Chest Arm","31 Mar 2026, 08:32","31 Mar 2026, 08:55","","Bent Over Row (Dumbbell)",,"",1,"normal",80,10,,,
"Chest Arm","31 Mar 2026, 08:32","31 Mar 2026, 08:55","","Bent Over Row (Dumbbell)",,"",2,"normal",80,10,,,
"Chest Arm","31 Mar 2026, 08:32","31 Mar 2026, 08:55","","Bent Over Row (Dumbbell)",,"",3,"normal",80,10,,,
"Chest Arm","31 Mar 2026, 08:32","31 Mar 2026, 08:55","","Chest Press (Machine)",,"",0,"normal",80,8,,,
"Chest Arm","31 Mar 2026, 08:32","31 Mar 2026, 08:55","","Chest Press (Machine)",,"",1,"normal",80,8,,,
"Chest Arm","31 Mar 2026, 08:32","31 Mar 2026, 08:55","","Chest Press (Machine)",,"",2,"normal",80,8,,,
"Chest Arm","31 Mar 2026, 08:32","31 Mar 2026, 08:55","","Chest Press (Machine)",,"",3,"normal",80,8,,,
"Chest Arm","31 Mar 2026, 08:32","31 Mar 2026, 08:55","","Lat Pulldown (Machine)",,"",0,"normal",110,10,,,
"Chest Arm","31 Mar 2026, 08:32","31 Mar 2026, 08:55","","Lat Pulldown (Machine)",,"",1,"normal",110,10,,,
"Chest Arm","31 Mar 2026, 08:32","31 Mar 2026, 08:55","","Lat Pulldown (Machine)",,"",2,"normal",110,10,,,
"Chest Arm","31 Mar 2026, 08:32","31 Mar 2026, 08:55","","Lat Pulldown (Machine)",,"",3,"normal",115,9,,,
"Rest Routine","26 Mar 2026, 23:22","26 Mar 2026, 23:46","","Decline Push Up",,"",0,"normal",,11,,,
"Rest Routine","26 Mar 2026, 23:22","26 Mar 2026, 23:46","","Decline Push Up",,"",1,"normal",,10,,,
